State,Year,EVs_per_1000_arima
Alabama,2024,3.277232325721836
Alabama,2025,3.9345865189122025
Alabama,2026,4.520889849953621
Alabama,2027,5.043821930635906
Alabama,2028,5.510232313331455
Alaska,2024,4.544156389680186
Alaska,2025,5.362232437609157
Alaska,2026,6.124284828885221
Alaska,2027,6.834150187392807
Alaska,2028,7.495402396529378
Arizona,2024,14.758718703407741
Arizona,2025,17.186225525795525
Arizona,2026,19.335177418749737
Arizona,2027,21.23753839077332
Arizona,2028,22.92160459986068
Arkansas,2024,2.8133803628726035
Arkansas,2025,3.204603540485358
Arkansas,2026,3.5105481493965134
Arkansas,2027,3.749803155434142
Arkansas,2028,3.9369055139878393
California,2024,39.88735270518149
California,2025,46.72079696086405
California,2026,52.684398213394964
California,2027,57.88888054594835
California,2028,62.430873748187516
Colorado,2024,19.917136773491237
Colorado,2025,24.214728149868336
Colorado,2026,28.18711829585876
Colorado,2027,31.858915377056455
Colorado,2028,35.25286544490169
Connecticut,2024,11.032743048183331
Connecticut,2025,13.177950727876212
Connecticut,2026,15.129049270805794
Connecticut,2027,16.903602644009705
Connecticut,2028,18.51758553880552
Delaware,2024,10.646301692698511
Delaware,2025,12.941757499886169
Delaware,2026,15.014986534848624
Delaware,2027,16.88750292917534
Delaware,2028,18.578737996740283
District of Columbia,2024,14.67754960680022
District of Columbia,2025,17.40643879336905
District of Columbia,2026,19.98078070441256
District of Columbia,2027,22.40932793438928
District of Columbia,2028,24.7003373853588
Florida,2024,14.49057653368559
Florida,2025,17.611378640129427
Florida,2026,20.50834051553132
Florida,2027,23.197517150667345
Florida,2028,25.69381198849923
Georgia,2024,10.870706807555775
Georgia,2025,13.095624193019281
Georgia,2026,15.060306038184507
Georgia,2027,16.79519056825334
Georgia,2028,18.327155827706854
Hawaii,2024,21.576045680281588
Hawaii,2025,25.20253558406031
Hawaii,2026,28.64949150032292
Hawaii,2027,31.925801487089338
Hawaii,2028,35.03991358778136
Idaho,2024,5.475818162475705
Idaho,2025,6.535379286713588
Idaho,2026,7.50024244128606
Idaho,2027,8.378871229899989
Idaho,2028,9.178972824123726
Illinois,2024,10.051700478464602
Illinois,2025,11.88393915313155
Illinois,2026,13.428596281853288
Illinois,2027,14.73080962245128
Illinois,2028,15.828632273769822
Indiana,2024,4.8841131044087485
Indiana,2025,5.869069834675772
Indiana,2026,6.758632408212199
Indiana,2027,7.56203985538221
Indiana,2028,8.287636396165412
Iowa,2024,3.6008251538923006
Iowa,2025,4.352713961570993
Iowa,2026,5.055504882219312
Iowa,2027,5.712403978337761
Iowa,2028,6.326407958473368
Kansas,2024,4.943441751708708
Kansas,2025,5.944879697624451
Kansas,2026,6.844418622451043
Kansas,2027,7.652427027343522
Kansas,2028,8.378218390405157
Kentucky,2024,3.3351062325118663
Kentucky,2025,4.047312164696587
Kentucky,2026,4.692661235827606
Kentucky,2027,5.277429495665196
Kentucky,2028,5.807303842759531
Louisiana,2024,2.2124648223826973
Louisiana,2025,2.5720257846104357
Louisiana,2026,2.8760652905413364
Louisiana,2027,3.1331566627358427
Louisiana,2028,3.3505493777203084
Maine,2024,6.864216535038667
Maine,2025,8.334068881203153
Maine,2026,9.703909955503018
Maine,2027,10.980544696220722
Maine,2028,12.170315021979393
Maryland,2024,15.20623018893715
Maryland,2025,18.343019126659524
Maryland,2026,21.069297394313793
Maryland,2027,23.438788405743075
Maryland,2028,25.4981848070044
Massachusetts,2024,13.564792853744736
Massachusetts,2025,16.422601344576677
Massachusetts,2026,19.039202784987367
Massachusetts,2027,21.43495572641913
Massachusetts,2028,23.62850040148362
Michigan,2024,6.500517761784098
Michigan,2025,7.8493141841802645
Michigan,2026,9.052444085320415
Michigan,2027,10.125639072334064
Michigan,2028,11.082931779513702
Minnesota,2024,8.447207786918495
Minnesota,2025,10.261168897844918
Minnesota,2026,11.907670519735296
Minnesota,2027,13.402172014038614
Minnesota,2028,14.758705579982198
Mississippi,2024,1.588105600297085
Mississippi,2025,1.915017554831694
Mississippi,2026,2.2078677351963067
Mississippi,2027,2.470205122832301
Mississippi,2028,2.705208921928455
Missouri,2024,5.600235402856731
Missouri,2025,6.718084031783858
Missouri,2026,7.704227815704384
Missouri,2027,8.574184209977949
Missouri,2028,9.34164240449054
Montana,2024,4.960662525356636
Montana,2025,5.671854356358651
Montana,2026,6.237270716152842
Montana,2027,6.686791711736392
Montana,2028,7.044172820312696
Nebraska,2024,4.505081500796696
