State,Year,EVs_per_1000_forecast_panel_acc,Outlets_per_100k_proj
Alabama,2024,7.177862712724231,115.0267273841986
Alabama,2025,26.387431203235845,617.816504960715
Alabama,2026,127.72024217632165,3318.335159853531
Alabama,2027,670.1426659761662,17823.007551118008
Alabama,2028,3581.687894260306,95728.60572083708
Alaska,2024,7.179254918560959,90.42817782954215
Alaska,2025,22.371015689246292,485.6959947231223
Alaska,2026,102.12390363473628,2608.7067654371826
Alaska,2027,528.639068961521,14011.544385737032
Alaska,2028,2817.638398932629,75256.97356045224
Arizona,2024,17.494315632010878,251.98582022303907
Arizona,2025,59.07411775299005,1353.4332610356712
Arizona,2026,280.5590000839599,7269.383612364756
Arizona,2027,1468.3265056592575,39044.36193867449
Arizona,2028,7846.064783010948,209709.9672392032
Arkansas,2024,8.167021374608796,145.76167192958943
Arkansas,2025,32.396686565884146,782.8960169229343
Arkansas,2026,160.6927839747512,4204.988631098244
Arkansas,2027,847.9368832828342,22585.284642476385
Arkansas,2028,4537.329342725754,121307.12521057515
California,2024,43.31368979707823,677.3390645133983
California,2025,154.3686268143527,3638.0349422034765
California,2026,749.009261720439,19540.13718402868
California,2027,3941.022111874788,104951.42769008211
California,2028,21083.700695106334,563701.3737646423
Colorado,2024,27.206107429240582,494.3902990867677
Colorado,2025,108.3790808603872,2655.4044752404952
Colorado,2026,542.5216235058659,14262.361013458596
Colorado,2027,2872.488124361639,76604.12700773233
Colorado,2028,15385.056169379683,411446.0620565767
Connecticut,2024,19.608452513575653,375.5154189962573
Connecticut,2025,81.36497987094698,2016.9192760585863
Connecticut,2026,411.22044833069236,10833.012868047468
Connecticut,2027,2181.0538640226473,58184.8610364876
Connecticut,2028,11685.108384762925,312514.91113991156
Delaware,2024,15.68835243196331,271.0350075914208
Delaware,2025,60.379556381535814,1455.7477633249205
Delaware,2026,298.57599303543583,7818.921877502103
Delaware,2027,1576.1024122045153,41995.96995213493
Delaware,2028,8435.9420198006,225563.2579339767
District of Columbia,2024,39.094538100109745,904.9150118999072
District of Columbia,2025,187.32062605149324,4860.36108869846
District of Columbia,2026,981.6100823899556,26105.335420324576
District of Columbia,2027,5245.950554844552,140213.56129121396
District of Columbia,2028,28148.17493102527,753096.7311248811
Florida,2024,15.918424014100193,228.93713226662894
Florida,2025,53.73356528800914,1229.6371645893457
Florida,2026,254.9981939458412,6604.466219915712
Florida,2027,1334.1613191493366,35473.04465588016
Florida,2028,7128.5779613421,190528.17521627469
Georgia,2024,14.836737627426889,242.4265362363608
Georgia,2025,54.85517268843575,1302.089685878131
Georgia,2026,267.95384459780803,6993.613720641513
Georgia,2027,1410.6784342320898,37563.182785339275
Georgia,2028,7546.488096098015,201754.4516077992
Hawaii,2024,23.428927607809506,320.4635156734397
Hawaii,2025,76.1935442157246,1721.2316973905815
Hawaii,2026,357.7528383994479,9244.854441155994
Hawaii,2027,1868.1841631797522,49654.75233098004
Hawaii,2028,9978.972120304372,266699.1075678488
Idaho,2024,9.191128094336417,140.87624925952215
Idaho,2025,32.62283205319045,756.6560740164874
Idaho,2026,156.63302451700895,4064.0520836932037
Idaho,2027,820.8572320663749,21828.30470295171
Idaho,2028,4386.608261431555,117241.33362284757
Illinois,2024,11.183059238287083,149.1224998473174
Illinois,2025,35.96166575323082,800.9472560142617
Illinois,2026,167.2061649616599,4301.943084199951
Illinois,2027,870.286334168012,23106.033712869415
Illinois,2028,4644.735419834709,124104.10446877111
Indiana,2024,8.087350245229937,119.67575881023163
Indiana,2025,28.056268969450546,642.7867741529412
Indiana,2026,133.4676025441942,3452.452201962726
Indiana,2027,697.7960531993738,18543.35945624362
Indiana,2028,3727.000066160002,99597.66560358946
Iowa,2024,8.266466069754559,142.6871778768454
Iowa,2025,31.993958321433286,766.382696815648
Iowa,2026,157.59285015484159,4116.294447181275
Iowa,2027,830.3500718503446,22108.90204893446
Iowa,2028,4441.932510110073,118748.44136674858
Kansas,2024,11.020166098900981,217.64522051354518
Kansas,2025,46.99094130104905,1168.9875259161224
Kansas,2026,238.3493522802934,6278.712817690617
Kansas,2027,1264.3054974823233,33723.40061211319
Kansas,2028,6772.943771711749,181130.71609849113
Kentucky,2024,6.702038538719211,100.20750460529538
Kentucky,2025,23.49110709078499,538.221434913074
Kentucky,2026,111.8232455572681,2890.8245359557664
Kentucky,2027,584.4181585444258,15526.818434932002
Kentucky,2028,3120.91499884559,83395.61523461247
Louisiana,2024,5.709029737033761,82.99976211195887
Louisiana,2025,19.68746913078713,445.7974603529008
Louisiana,2026,92.92352407983383,2394.40897901636
Louisiana,2027,484.43632885238503,12860.536159752173
Louisiana,2028,2585.4355604571206,69074.82880566124
Maine,2024,19.022661112488642,415.97939339839013
Maine,2025,87.38837769731857,2234.2540799815542
Maine,2026,452.7422584129743,12000.33312499547
Maine,2027,2413.2401004547123,64454.618837286594
Maine,2028,12941.366436385522,346190.21373720973
Maryland,2024,22.87650117074903,433.86263781124615
Maryland,2025,94.16318011955346,2330.3062220511606
Maryland,2026,475.20575162795797,12516.235820455327
Maryland,2027,2519.968636528917,67225.56788067045
Maryland,2028,13500.688343179241,361073.1726141466
Massachusetts,2024,25.947174561000036,534.4795117735349
Massachusetts,2025,113.66812545954824,2870.7264080817113
Massachusetts,2026,582.9803077658983,15418.870000670036
Massachusetts,2027,3101.845374634358,82815.81673135722
Massachusetts,2028,16629.00067689258,444809.47699693346
Michigan,2024,10.585128940163006,178.54991666372828
Michigan,2025,40.170266921395566,959.0039461503895
Michigan,2026,197.2309789267663,5150.876493905698
Michigan,2027,1038.9718118261342,27665.71374598872
Michigan,2028,5558.176908260816,148594.46115249876
Minnesota,2024,11.712701624942852,186.2540156276178
Minnesota,2025,42.55618974680644,1000.3831942954215
Minnesota,2026,206.37558735143625,5373.1272963776955
Minnesota,2027,1084.417787854836,28859.438171002887
Minnesota,2028,5798.600039325035,155006.03756538904
Mississippi,2024,5.9405501925008695,100.5533856826018
Mississippi,2025,22.786113281346378,540.0791860911959
Mississippi,2026,111.42168781052864,2900.802645965976
Mississippi,2027,585.6463768679873,15580.411553616763
Mississippi,2028,3130.896857114579,83683.46758013885
Missouri,2024,11.874720055686016,233.85810246939212
Missouri,2025,50.49362872351248,1256.0680357514216
Missouri,2026,256.0753476211883,6746.42825618124
Missouri,2027,1358.4258629576898,36235.532566969974
Missouri,2028,7277.383580576217,194623.55050006302
Montana,2024,9.761027444928569,164.74477984339683
Montana,2025,37.09130136733755,884.8556018933721
Montana,2026,182.04098262651587,4752.62061077964
Montana,2027,958.7326321122539,25526.65386496506
Montana,2028,5128.554067365959,137105.42265119767
Nebraska,2024,8.88212231627239,149.68691519451642
Nebraska,2025,33.752917695202825,803.9787698639774
Nebraska,2026,165.49256966542728,4318.225554665408
Nebraska,2027,871.2322385869393,23193.487987400717
Nebraska,2028,4659.96568108382,124573.82742328354
Nevada,2024,21.34708400572752,332.01957488677385
Nevada,2025,75.99921124978559,1783.3000903342022
Nevada,2026,367.6964555501199,9578.228070650594
Nevada,2027,1932.579411276947,51445.32514222316
Nevada,2028,10335.830842637664,276316.39792528865
New Hampshire,2024,13.609599932833579,228.67854509918476
New Hampshire,2025,51.382504833606106,1228.2482750360123
New Hampshire,2026,252.4202790113815,6597.006398106204
New Hampshire,2027,1330.364953119288,35432.97743721901
New Hampshire,2028,7118.237210242067,190312.97141486555
New Jersey,2024,17.164652637431214,213.19033693792153
New Jersey,2025,52.40778877365396,1145.0600382505315
New Jersey,2026,239.85800002570502,6150.196627251936
New Jersey,2027,1244.8229343061357,33033.131268515404
New Jersey,2028,6640.715963483435,177423.23173341222
New Mexico,2024,10.586358660963953,175.98323598086785
New Mexico,2025,39.75226747427294,945.2181267595752
New Mexico,2026,194.5612706360196,5076.831904898096
New Mexico,2027,1024.2080196681623,27268.015139480212
New Mexico,2028,5478.454955547741,146458.39444271434
New York,2024,15.81218952078094,302.4418725546295
New York,2025,65.63323839167053,1624.4362063033323
New York,2026,331.3824267612034,8724.959166732187
New York,2027,1756.8965802082994,46862.358869960546
New York,2028,9411.588539495811,251700.9692412671
North Carolina,2024,12.455881630144237,207.51385383068302
North Carolina,2025,46.7718485607579,1114.571255047399
North Carolina,2026,229.24216991119212,5986.439264876939
North Carolina,2027,1207.4597712536897,32153.579154108265
North Carolina,2028,6459.691026089275,172699.09652056886
North Dakota,2024,7.479015915761058,142.26699409097654
North Dakota,2025,31.13787738679727,764.125860653044
North Dakota,2026,156.36814855270055,4104.17282412934
North Dakota,2027,827.1454831590615,22043.795973514403
North Dakota,2028,4428.093810986828,118398.75213466796
Ohio,2024,9.95496506372097,165.9375771757593
Ohio,2025,37.480064714350455,891.2621988275371
Ohio,2026,183.4761684287516,4787.030885822391
Ohio,2027,965.7882252641556,25711.473831116426
Ohio,2028,5165.797256950366,138098.10346661552
Oklahoma,2024,11.089252591621694,180.14221940308906
Oklahoma,2025,40.934469575654376,967.5563142446799
Oklahoma,2026,199.3920838851909,5196.811854193779
Oklahoma,2027,1048.635775632735,27912.43574176022
Oklahoma,2028,5608.139245638554,149919.6220484995
Oregon,2024,24.35753322900546,402.79991187123903
Oregon,2025,90.57057725460835,2163.4661735578397
Oregon,2026,444.36230483324283,11620.126385790321
Oregon,2027,2342.7590230459436,62412.50215605948
Oregon,2028,12537.33592963379,335221.8638640217
Pennsylvania,2024,10.934535840953401,177.12777673884955
Pennsylvania,2025,40.2873883877885,951.3655342966036
Pennsylvania,2026,196.1004792663459,5109.850055770201
Pennsylvania,2027,1031.1402528414021,27445.357910468865
Pennsylvania,2028,5514.35349637869,147410.9147259899
Rhode Island,2024,18.381683836709016,397.68426259658986
Rhode Island,2025,83.75916253347248,2135.9896676418525
Rhode Island,2026,433.06301096550067,11472.54817297333
Rhode Island,2027,2307.355020019769,61619.8493724468
Rhode Island,2028,12372.46386727897,330964.4709645151
South Carolina,2024,8.637617168692937,136.9725657489049
South Carolina,2025,31.431712405542154,735.6891200063394
South Carolina,2026,152.01726434346148,3951.437124189443
South Carolina,2027,797.8474908714348,21223.441970010357
South Carolina,2028,4264.803176533638,113992.57406804738
South Dakota,2024,7.512572777672919,135.6943541559192
South Dakota,2025,30.09789113544403,728.8237571733952
South Dakota,2026,149.56208802239493,3914.5627857883355
South Dakota,2027,789.3694390486129,21025.387349212375
South Dakota,2028,4223.975844009476,112928.80900756683
Tennessee,2024,10.038692414279737,167.1813177174504
Tennessee,2025,37.766938609739604,897.9424152608798
Tennessee,2026,184.85415646062097,4822.910790111452
Tennessee,2027,973.0266627554089,25904.18727755007
Tennessee,2028,5204.5125736403315,139133.18071033206
Texas,2024,11.18682679510982,150.9700929824087
Texas,2025,36.26721020729595,810.8708064730945
Texas,2026,169.13257399365443,4355.243159762385
Texas,2027,880.9185189038238,23392.312103526725
Texas,2028,4702.126927734949,125641.72549636867
Utah,2024,20.175664875708414,340.8373336461081
Utah,2025,76.26804204735265,1830.660882231573
Utah,2026,375.70096827801945,9832.606158140414
Utah,2027,1982.1328064460788,52811.60743613411
Utah,2028,10608.54615781107,283654.7945815229
Vermont,2024,35.027864459166324,809.7488565567758
Vermont,2025,167.70997439045388,4349.217089197708
Vermont,2026,878.5116501760889,23359.94566192155
Vermont,2027,4694.433481493544,125467.88310090754
Vermont,2028,25188.170335454797,673896.6741469754
Virginia,2024,16.70700813847485,280.707668263147
Virginia,2025,62.97809754559315,1507.7002924959602
Virginia,2026,309.6602082147072,8097.962503330866
Virginia,2027,1632.7637691623652,43494.71644446763
Virginia,2028,8737.401356150573,233613.12895762475
Washington,2024,26.658617076917654,397.63569701315936
Washington,2025,92.02816330694803,2135.728818535747
Washington,2026,441.2894059117549,11471.14713439107
Washington,2027,2315.3525761225355,61612.32429736303
Washington,2028,12379.232314132969,330924.0532660067
West Virginia,2024,7.2392567226699605,135.3009657447871
West Virginia,2025,29.76032092628353,726.7108408209556
West Virginia,2026,148.8794043091509,3903.2141659864487
West Virginia,2027,786.8331268460922,20964.43312768861
West Virginia,2028,4211.483565043549,112601.41966979469
Wisconsin,2024,8.48801041304834,126.61453388746698
Wisconsin,2025,29.590274987987087,680.0554147933682
Wisconsin,2026,141.08888747890543,3652.624647347523
Wisconsin,2027,738.1125340266941,19618.499498992187
Wisconsin,2028,3942.9247044541453,105372.31710119854
Wyoming,2024,10.630083505024398,231.3426362447418
Wyoming,2025,48.838128126013224,1242.5572927562796
Wyoming,2026,252.21306782372625,6673.861121511739
